city,year,affordability_ratio
Dresden,2000,0.2990744779770461
Dresden,2001,0.2648913356458032
Dresden,2002,0.2737451876833391
Dresden,2003,0.26819019008362266
Dresden,2004,0.25067887506807823
Dresden,2005,0.2372215152373942
Dresden,2006,0.2184956136180617
Dresden,2007,0.23865525158640546
Dresden,2008,0.2346702667907498
Dresden,2009,0.23375771534943537
Dresden,2010,0.23353326476602818
Dresden,2011,0.22614024698734056
Dresden,2012,0.22167329577514708
Dresden,2013,0.21392766692334753
Dresden,2014,0.21991447292482116
Dresden,2015,0.2115055744608593
Dresden,2016,0.19332787810626934
Dresden,2017,0.1882640181859908
Dresden,2018,0.1829567055207529
Dresden,2019,0.18772952366603238
Dresden,2020,0.1947419003201548
Dresden,2021,0.22264354478807288
Dresden,2022,0.2554440772598549
Dresden,2023,0.2345097742367075
Dresden,2024,0.22387289148654607
Dresden,1992,0.43192129543088525
Dresden,1993,0.4847652243662808
Dresden,1994,0.4853129090622049
Dresden,1995,0.4603612097601976
Dresden,1996,0.4051556912369729
Dresden,1997,0.3683745752251888
Dresden,1998,0.3966575244878607
Dresden,1999,0.3463851165939531
Dresden,2000,0.37384309747130756
Dresden,2001,0.33111416955725403
Dresden,2002,0.3421814846041739
Dresden,2003,0.33523773760452824
Dresden,2004,0.3133485938350977
Dresden,2005,0.29652689404674276
Dresden,2006,0.2731195170225772
Dresden,2007,0.2983190644830069
Dresden,2008,0.2933378334884373
Dresden,2009,0.2921971441867942
Dresden,2010,0.29191658095753525
Dresden,2011,0.2826753087341757
Dresden,2012,0.2770916197189338
Dresden,2013,0.2674095836541844
Dresden,2014,0.2748930911560265
Dresden,2015,0.2643819680760741
Dresden,2016,0.24165984763283674
Dresden,2017,0.23533002273248854
Dresden,2018,0.22869588190094114
Dresden,2019,0.23466190458254044
Dresden,2020,0.24342737540019344
Dresden,2021,0.27830443098509106
Dresden,2022,0.3193050965748187
Dresden,2023,0.29313721779588436
Dresden,2024,0.27984111435818254
Dresden,1992,0.2612140736112257
Dresden,1993,0.2873383416973586
Dresden,1994,0.28182210216159376
Dresden,1995,0.261792032206832
Dresden,1996,0.2349698978838712
Dresden,1997,0.2177950978357967
Dresden,1998,0.23899241593850726
Dresden,1999,0.21261078357746716
Dresden,2000,0.23283893781325088
Dresden,2001,0.2092150673164384
Dresden,2002,0.2192966549723173
Dresden,2003,0.2156030608405674
Dresden,2004,0.2022324970131346
Dresden,2005,0.19204506269432367
Dresden,2006,0.17750164592695392
Dresden,2007,0.19854640534985202
Dresden,2008,0.19982066510015714
Dresden,2009,0.2036153052169026
Dresden,2010,0.20192664641924643
Dresden,2011,0.19408832535333262
Dresden,2012,0.18883717520034465
Dresden,2013,0.18345436403291837
Dresden,2014,0.1876421118885177
Dresden,2015,0.1798791619946783
Dresden,2016,0.17700757822029886
Dresden,2017,0.17178679540875025
Dresden,2018,0.16878561825250696
Dresden,2019,0.17819188391563565
Dresden,2020,0.17935184424710543
Dresden,2021,0.20753526976584694
Dresden,2022,0.2085025482871515
Dresden,2023,0.18763809453723768
Dresden,2024,0.1826167063220537
Duisburg,1980,0.28683161432951887
Duisburg,1981,0.3244676465048497
Duisburg,1982,0.31893745872448875
Duisburg,1983,0.30693182300104566
Duisburg,1984,0.29719636158953283
Duisburg,1985,0.2380906400103648
Duisburg,1986,0.20042193946587278
Duisburg,1987,0.18786951371342547
Duisburg,1988,0.17387597100845287
Duisburg,1989,0.19874968774424745
Duisburg,1990,0.22206036321927802
Duisburg,1991,0.24175578433787914
Duisburg,1992,0.2485485330532882
Duisburg,1993,0.22253150987268758
Duisburg,1994,0.27899626281633844
Duisburg,1995,0.2733440656295886
Duisburg,1996,0.25262490099486856
Duisburg,1997,0.252743328053565
Duisburg,1998,0.22735305877610876
Duisburg,1999,0.21674967152107716
Duisburg,2000,0.24496721247104195
Duisburg,2001,0.20577577391609128
Duisburg,2002,0.20293504700412965
Duisburg,2003,0.1781503326239847
Duisburg,2004,0.16458722283218674
Duisburg,2005,0.15092735336260793
Duisburg,2006,0.15680916216338509
Duisburg,2007,0.15356007286727566
Duisburg,2008,0.1543872024808885
Duisburg,2009,0.13697513115483234
Duisburg,2010,0.1349673160205065
Duisburg,2011,0.12265187184918565
Duisburg,2012,0.11501493771640992
Duisburg,2013,0.11225735296815405
Duisburg,2014,0.11322028844495317
Duisburg,2015,0.10070245816899828
Duisburg,2016,0.11369888498673038
Duisburg,2017,0.10363063392461153
Duisburg,2018,0.1280540755026168
Duisburg,2019,0.13338945022648183
Duisburg,2020,0.13114059768529368
Duisburg,2021,0.14069555675237394
Duisburg,2022,0.16997429390208446
Duisburg,2023,0.18147940411801516
Duisburg,2024,0.16286200607150397
Duisburg,1980,0.3585395179118985
Duisburg,1981,0.40558455813106215
Duisburg,1982,0.3986718234056109
Duisburg,1983,0.38366477875130706
Duisburg,1984,0.371495451986916
Duisburg,1985,0.297613300012956
Duisburg,1986,0.250527424332341
Duisburg,1987,0.23483689214178177
Duisburg,1988,0.21734496376056614
Duisburg,1989,0.24843710968030927
Duisburg,1990,0.27757545402409745
Duisburg,1991,0.302194730422349
Duisburg,1992,0.3106856663166103
Duisburg,1993,0.2781643873408594
Duisburg,1994,0.34874532852042295
Duisburg,1995,0.3416800820369857
Duisburg,1996,0.31578112624358573
Duisburg,1997,0.31592916006695615
Duisburg,1998,0.2841913234701359
Duisburg,1999,0.2709370894013464
Duisburg,2000,0.3062090155888024
Duisburg,2001,0.25721971739511407
Duisburg,2002,0.253668808755162
Duisburg,2003,0.2226879157799809
Duisburg,2004,0.20573402854023334
Duisburg,2005,0.18865919170325993
Duisburg,2006,0.19601145270423131
Duisburg,2007,0.19195009108409458
Duisburg,2008,0.1929840031011106
Duisburg,2009,0.17121891394354039
Duisburg,2010,0.16870914502563314
Duisburg,2011,0.15331483981148203
Duisburg,2012,0.14376867214551242
Duisburg,2013,0.14032169121019256
Duisburg,2014,0.14152536055619144
Duisburg,2015,0.12587807271124785
Duisburg,2016,0.142123606233413
Duisburg,2017,0.12953829240576437
Duisburg,2018,0.16006759437827095
Duisburg,2019,0.1667368127831023
Duisburg,2020,0.16392574710661711
Duisburg,2021,0.17586944594046738
Duisburg,2022,0.21246786737760556
Duisburg,2023,0.22684925514751902
Duisburg,2024,0.20357750758938
Duisburg,1980,0.22780287889191378
Duisburg,1981,0.25769357451711605
Duisburg,1982,0.2533014760375816
Duisburg,1983,0.24376654946708848
Duisburg,1984,0.23603460491813116
Duisburg,1985,0.18909259133921616
Duisburg,1986,0.15917595035732435
Duisburg,1987,0.1492067608376521
Duisburg,1988,0.13809303015095206
Duisburg,1989,0.15784784098099672
Duisburg,1990,0.17636127784373584
Duisburg,1991,0.1920034644356628
Duisburg,1992,0.197398294139413
Duisburg,1993,0.17321834083297258
Duisburg,1994,0.21276090478357884
Duisburg,1995,0.20413035341995445
Duisburg,1996,0.19240071280175589
Duisburg,1997,0.1962358668859029
Duisburg,1998,0.17989100989609136
Duisburg,1999,0.17471281011023623
Duisburg,2000,0.20036157613217498
Duisburg,2001,0.17074565939453468
Duisburg,2002,0.17079407222479445
Duisburg,2003,0.15046271516389642
Duisburg,2004,0.13949529105145023
Duisburg,2005,0.12836518473309524
Duisburg,2006,0.1338324163229301
Duisburg,2007,0.13421453954813978
Duisburg,2008,0.13810959570596082
Duisburg,2009,0.12534771273206366
Duisburg,2010,0.12260373943007202
Duisburg,2011,0.11059257095945106
Duisburg,2012,0.10293393810020404
Duisburg,2013,0.09759607833776014
Duisburg,2014,0.10445869027924778
Duisburg,2015,0.08607397172920839
Duisburg,2016,0.10340025783500534
Duisburg,2017,0.09593003455005142
Duisburg,2018,0.11633072924586427
Duisburg,2019,0.12827727705765352
Duisburg,2020,0.11499491208534654
Duisburg,2021,0.12681427940478718
Duisburg,2022,0.13653961958923808
Duisburg,2023,0.14290496674490172
Duisburg,2024,0.1307430735069416
Düsseldorf,1980,0.2368513486306281
Düsseldorf,1981,0.23672094065384486
Düsseldorf,1982,0.22057155284235544
Düsseldorf,1983,0.2381169922047886
Düsseldorf,1984,0.21798027794764735
Düsseldorf,1985,0.20763504691914253
Düsseldorf,1986,0.19036326399993844
Düsseldorf,1987,0.18565412855299818
Düsseldorf,1988,0.1695505658746312
Düsseldorf,1989,0.19534785447397396
Düsseldorf,1990,0.24174588337448452
Düsseldorf,1991,0.2763876961008299
Düsseldorf,1992,0.26176335562388164
Düsseldorf,1993,0.24318600169123428
Düsseldorf,1994,0.24997062743313925
Düsseldorf,1995,0.26376856694686873
Düsseldorf,1996,0.25170725665874943
Düsseldorf,1997,0.24778411687981763
Düsseldorf,1998,0.23506785350654177
Düsseldorf,1999,0.22835583159859996
Düsseldorf,2000,0.23596851602719832
Düsseldorf,2001,0.22135629219918826
Düsseldorf,2002,0.22238470555291337
Düsseldorf,2003,0.20129328816783004
Düsseldorf,2004,0.21182247793126174
Düsseldorf,2005,0.2002587833649313
Düsseldorf,2006,0.21837134072688488
Düsseldorf,2007,0.22187832948511108
Düsseldorf,2008,0.20711368597906868
Düsseldorf,2009,0.21839867878924676
Düsseldorf,2010,0.2151206719924803
Düsseldorf,2011,0.20947324471201212
Düsseldorf,2012,0.2537878410723614
Düsseldorf,2013,0.2550195858111221
Düsseldorf,2014,0.2667674716678411
Düsseldorf,2015,0.2694173204467749
Düsseldorf,2016,0.28727006384165227
Düsseldorf,2017,0.29802084013948776
Düsseldorf,2018,0.2827849649181906
Düsseldorf,2019,0.279385753821656
Düsseldorf,2020,0.27705669486267354
Düsseldorf,2021,0.3090761616300682
Düsseldorf,2022,0.35818662611728164
Düsseldorf,2023,0.3325289460183564
Düsseldorf,2024,0.3027898656353554
Düsseldorf,1980,0.29606418578828514
Düsseldorf,1981,0.2959011758173061
Düsseldorf,1982,0.27571444105294424
Düsseldorf,1983,0.2976462402559858
Düsseldorf,1984,0.2724753474345591
Düsseldorf,1985,0.2595438086489282
Düsseldorf,1986,0.23795407999992302
Düsseldorf,1987,0.2320676606912478
Düsseldorf,1988,0.211938207343289
Düsseldorf,1989,0.24418481809246737
Düsseldorf,1990,0.30218235421810563
Düsseldorf,1991,0.3454846201260374
Düsseldorf,1992,0.327204194529852
Düsseldorf,1993,0.3039825021140429
Düsseldorf,1994,0.312463284291424
Düsseldorf,1995,0.32971070868358593
Düsseldorf,1996,0.31463407082343675
Düsseldorf,1997,0.30973014609977206
Düsseldorf,1998,0.2938348168831772
Düsseldorf,1999,0.28544478949825
Düsseldorf,2000,0.2949606450339979
Düsseldorf,2001,0.27669536524898525
Düsseldorf,2002,0.2779808819411417
Düsseldorf,2003,0.25161661020978754
Düsseldorf,2004,0.26477809741407715
Düsseldorf,2005,0.2503234792061641
Düsseldorf,2006,0.2729641759086061
Düsseldorf,2007,0.2773479118563888
Düsseldorf,2008,0.2588921074738359
Düsseldorf,2009,0.27299834848655846
Düsseldorf,2010,0.2689008399906004
Düsseldorf,2011,0.26184155589001507
Düsseldorf,2012,0.31723480134045173
Düsseldorf,2013,0.31877448226390254
Düsseldorf,2014,0.3334593395848014
Düsseldorf,2015,0.33677165055846847
Düsseldorf,2016,0.3590875798020654
Düsseldorf,2017,0.3725260501743597
Düsseldorf,2018,0.3534812061477382
Düsseldorf,2019,0.3492321922770699
Düsseldorf,2020,0.34632086857834193
Düsseldorf,2021,0.38634520203758527
Düsseldorf,2022,0.44773328264660206
Düsseldorf,2023,0.4156611825229454
Düsseldorf,2024,0.3784873320441943
Düsseldorf,1980,0.17158876717130522
Düsseldorf,1981,0.17149429211724748
Düsseldorf,1982,0.1597947448646529
Düsseldorf,1983,0.1725056723180316
Düsseldorf,1984,0.1579174759905021
Düsseldorf,1985,0.1504227944168211
Düsseldorf,1986,0.13791011946229312
Düsseldorf,1987,0.13449855034750918
Düsseldorf,1988,0.12283220146234385
Düsseldorf,1989,0.14152124407373629
Düsseldorf,1990,0.17513465022171248
Düsseldorf,1991,0.20023117583855746
Düsseldorf,1992,0.18963646076667345
Düsseldorf,1993,0.17267192597352707
Düsseldorf,1994,0.173885442107011
Düsseldorf,1995,0.17968084386636712
Düsseldorf,1996,0.17486667717388937
Düsseldorf,1997,0.17549023424244814
Düsseldorf,1998,0.169661265067288
Düsseldorf,1999,0.16790329106450477
Düsseldorf,2000,0.17605215331973784
Düsseldorf,2001,0.1675436995471694
Düsseldorf,2002,0.17072670298586734
Düsseldorf,2003,0.15507877157967742
Düsseldorf,2004,0.16376318462996667
Düsseldorf,2005,0.1553644557644803
Düsseldorf,2006,0.17000681309250168
Düsseldorf,2007,0.17689556496477457
Düsseldorf,2008,0.16900601238942303
Düsseldorf,2009,0.18230790332522345
Düsseldorf,2010,0.17825349414938269
Düsseldorf,2011,0.1722904219353859
Düsseldorf,2012,0.2071838753392016
Düsseldorf,2013,0.20226692585393288
Düsseldorf,2014,0.2221184047019615
Düsseldorf,2015,0.21281873462522416
Düsseldorf,2016,0.23410408746693082
Düsseldorf,2017,0.25006918528163874
Düsseldorf,2018,0.22651181330833356
Düsseldorf,2019,0.23480616474498162
Düsseldorf,2020,0.2288225971720248
Düsseldorf,2021,0.24639931385549324
Düsseldorf,2022,0.250258769626086
Düsseldorf,2023,0.2277476636344379
Düsseldorf,2024,0.21141935398146497
Erfurt,1993,0.4160025246467513
Erfurt,1994,0.4342573366113347
Erfurt,1995,0.4859464422516325
Erfurt,1996,0.4246888768850067
Erfurt,1997,0.37124529815437013
Erfurt,1998,0.31094852810299994
Erfurt,1999,0.27135368060852794
Erfurt,2000,0.2726289720496714
Erfurt,2001,0.27966268592596805
Erfurt,2002,0.23325759945132746
Erfurt,2003,0.21994705717318003
Erfurt,2004,0.25126742755721515
Erfurt,2005,0.24324179357691741
Erfurt,2006,0.22894244107218642
Erfurt,2007,0.24239543682069364
Erfurt,2008,0.25946995317217
Erfurt,2009,0.24624186196324127
Erfurt,2010,0.25583929347108425
Erfurt,2011,0.2410320978059799
Erfurt,2012,0.23461214043465578
Erfurt,2013,0.21338224088143562
Erfurt,2014,0.21090625943919616
Erfurt,2015,0.1828958077171106
Erfurt,2016,0.23777229200556016
Erfurt,2017,0.21696660667992412
Erfurt,2018,0.1966475150625014
Erfurt,2019,0.1842813351858344
Erfurt,2020,0.18238866261394832
Erfurt,2021,0.23485735099093713
Erfurt,2022,0.3046017562119477
Erfurt,2023,0.2584209623201229
Erfurt,2024,0.23372353334691
Erfurt,1993,0.520003155808439
Erfurt,1994,0.5428216707641682
Erfurt,1995,0.6074330528145406
Erfurt,1996,0.5308610961062583
Erfurt,1997,0.46405662269296266
Erfurt,1998,0.38868566012875
Erfurt,1999,0.3391921007606598
Erfurt,2000,0.34078621506208917
Erfurt,2001,0.34957835740746007
Erfurt,2002,0.2915719993141593
Erfurt,2003,0.27493382146647505
Erfurt,2004,0.31408428444651887
Erfurt,2005,0.3040522419711467
Erfurt,2006,0.286178051340233
Erfurt,2007,0.30299429602586697
Erfurt,2008,0.32433744146521243
Erfurt,2009,0.3078023274540516
Erfurt,2010,0.31979911683885537
Erfurt,2011,0.30129012225747487
Erfurt,2012,0.2932651755433197
Erfurt,2013,0.26672780110179445
Erfurt,2014,0.2636328242989952
Erfurt,2015,0.2286197596463882
Erfurt,2016,0.2972153650069502
Erfurt,2017,0.27120825834990514
Erfurt,2018,0.2458093938281267
Erfurt,2019,0.23035166898229298
Erfurt,2020,0.22798582826743538
Erfurt,2021,0.2935716887386714
Erfurt,2022,0.3807521952649345
Erfurt,2023,0.32302620290015355
Erfurt,2024,0.2921544166836375
Erfurt,1993,0.3044398821473632
Erfurt,1994,0.3113463839741669
Erfurt,1995,0.3411847127347897
Erfurt,1996,0.304091741564042
Erfurt,1997,0.27099599302506266
Erfurt,1998,0.2313131819646199
Erfurt,1999,0.20563888329156527
Erfurt,2000,0.20964364605617233
Erfurt,2001,0.21816906570603908
Erfurt,2002,0.18456729952866316
Erfurt,2003,0.17464800606480732
Erfurt,2004,0.20021787271371091
Erfurt,2005,0.19450049453815935
Erfurt,2006,0.1837043384642145
Erfurt,2007,0.19918146170941595
Erfurt,2008,0.21822416914529869
Erfurt,2009,0.21185552484683984
Erfurt,2010,0.21849704658906133
Erfurt,2011,0.2043289359520079
Erfurt,2012,0.19740495100322275
Erfurt,2013,0.17572463502954008
Erfurt,2014,0.17013088210105307
Erfurt,2015,0.16782924077221512
Erfurt,2016,0.20594958732721802
Erfurt,2017,0.1838533938469772
Erfurt,2018,0.16614030724882725
Erfurt,2019,0.16689122506341436
Erfurt,2020,0.16247691005403941
Erfurt,2021,0.19926775635672533
Erfurt,2022,0.25523410633021926
Erfurt,2023,0.2122650927991337
Erfurt,2024,0.19571865170095903
Frankfurt am Main,1983,0.3228814142371793
Frankfurt am Main,1984,0.30584069989402585
Frankfurt am Main,1985,0.2779659649675182
Frankfurt am Main,1986,0.29016348351584775
Frankfurt am Main,1987,0.27921719219942626
Frankfurt am Main,1988,0.28790426059180235
Frankfurt am Main,1989,0.3228465383308282
Frankfurt am Main,1990,0.3931666049183507
Frankfurt am Main,1991,0.44951450345965155
Frankfurt am Main,1992,0.4454790112875539
Frankfurt am Main,1993,0.37591290783335174
Frankfurt am Main,1994,0.4141159757148815
Frankfurt am Main,1995,0.398756242551619
Frankfurt am Main,1996,0.3823218395172526
Frankfurt am Main,1997,0.37081879728833284
Frankfurt am Main,1998,0.3408842519192419
Frankfurt am Main,1999,0.33221591236599557
Frankfurt am Main,2000,0.3559956297635335
Frankfurt am Main,2001,0.33037785366312955
Frankfurt am Main,2002,0.31402342168511677
Frankfurt am Main,2003,0.30685363138569755
Frankfurt am Main,2004,0.27883630723218744
Frankfurt am Main,2005,0.274869963927973
Frankfurt am Main,2006,0.2871312917654497
Frankfurt am Main,2007,0.3029332956785984
Frankfurt am Main,2008,0.30981702787237525
Frankfurt am Main,2009,0.32158237618131547
Frankfurt am Main,2010,0.3179841612985839
Frankfurt am Main,2011,0.3485678472387967
Frankfurt am Main,2012,0.35216391965733373
Frankfurt am Main,2013,0.3616742318356439
Frankfurt am Main,2014,0.36863225847254855
Frankfurt am Main,2015,0.38491538586932494
Frankfurt am Main,2016,0.3793055840354601
Frankfurt am Main,2017,0.4121337270075855
Frankfurt am Main,2018,0.3886657247704977
Frankfurt am Main,2019,0.3747486387170651
Frankfurt am Main,2020,0.3789274883510209
Frankfurt am Main,2021,0.4165120326327145
Frankfurt am Main,2022,0.4702642493383317
Frankfurt am Main,2023,0.40310938241363947
Frankfurt am Main,2024,0.38989490122408377
Frankfurt am Main,1983,0.40360176779647416
Frankfurt am Main,1984,0.3823008748675323
Frankfurt am Main,1985,0.3474574562093977
Frankfurt am Main,1986,0.36270435439480964
Frankfurt am Main,1987,0.34902149024928275
Frankfurt am Main,1988,0.35988032573975287
Frankfurt am Main,1989,0.40355817291353524
Frankfurt am Main,1990,0.4914582561479383
Frankfurt am Main,1991,0.5618931293245644
Frankfurt am Main,1992,0.5568487641094424
Frankfurt am Main,1993,0.4698911347916896
Frankfurt am Main,1994,0.5176449696436018
Frankfurt am Main,1995,0.4984453031895237
Frankfurt am Main,1996,0.4779022993965657
Frankfurt am Main,1997,0.4635234966104161
Frankfurt am Main,1998,0.4261053148990523
Frankfurt am Main,1999,0.4152698904574945
Frankfurt am Main,2000,0.44499453720441684
Frankfurt am Main,2001,0.4129723170789119
Frankfurt am Main,2002,0.39252927710639596
Frankfurt am Main,2003,0.3835670392321218
Frankfurt am Main,2004,0.3485453840402342
Frankfurt am Main,2005,0.34358745490996634
Frankfurt am Main,2006,0.35891411470681206
Frankfurt am Main,2007,0.378666619598248
Frankfurt am Main,2008,0.3872712848404689
Frankfurt am Main,2009,0.4019779702266442
Frankfurt am Main,2010,0.3974802016232299
Frankfurt am Main,2011,0.43570980904849593
Frankfurt am Main,2012,0.4402048995716672
Frankfurt am Main,2013,0.4520927897945548
Frankfurt am Main,2014,0.4607903230906858
Frankfurt am Main,2015,0.4811442323366562
Frankfurt am Main,2016,0.474131980044325
Frankfurt am Main,2017,0.5151671587594818
Frankfurt am Main,2018,0.48583215596312207
Frankfurt am Main,2019,0.4684357983963313
Frankfurt am Main,2020,0.4736593604387761
Frankfurt am Main,2021,0.5206400407908931
Frankfurt am Main,2022,0.5878303116729144
Frankfurt am Main,2023,0.5038867280170493
Frankfurt am Main,2024,0.4873686265301047
Frankfurt am Main,1983,0.23371860796003685
